"Date","Open","High","Low","Close / Last","Volume"
"01/04/2017","117.55","119.66","117.29","118.69","19,594,560"
"01/03/2017","116.03","117.84","115.51","116.86","20,635,600"
"12/30/2016","116.595","116.83","114.7739","115.05","18,668,290"
"12/29/2016","117","117.531","116.06","116.35","9,925,082"
"12/28/2016","118.19","118.25","116.65","116.92","11,985,740"
"12/27/2016","116.96","118.68","116.864","118.01","12,034,590"
"12/23/2016","117","117.56","116.3","117.27","10,885,030"
"12/22/2016","118.86","118.99","116.93","117.4","16,226,770"
"12/21/2016","118.92","119.2","118.48","119.04","10,747,610"
"12/20/2016","119.5","119.77","118.8","119.09","13,673,570"
"12/19/2016","119.85","120.36","118.51","119.24","15,871,360"
"12/16/2016","120.9","121.5","119.27","119.87","25,316,220"
